Date,Production,Sales
12/1/2025,673242,1175442.649
11/1/2025,731303,1176428.391
10/1/2025,779872,1386078.94
9/1/2025,634802,1229262.336
8/1/2025,812366,1324978.434
7/1/2025,817408,1383706.313
6/1/2025,723548,1349819.913
5/1/2025,826109,1339970.089
4/1/2025,707319,1335042
3/1/2025,781640,1432901
2/1/2025,714332,1261182
1/1/2025,666416,1164892
12/1/2024,606234,1108236
11/1/2024,503018,1052847
10/1/2024,815248,1412067
9/1/2024,724018,1218442
8/1/2024,641000,1225000
7/1/2024,799000,1284000
6/1/2024,665079,1189974
5/1/2024,742451,1301236
4/1/2024,768976,1276576
3/1/2024,643737,1213064
2/1/2024,647044,1122952
1/1/2024,643352,1188570
12/1/2023,705747,1042827
11/1/2023,650845,1183248
10/1/2023,683400,1225400
9/1/2023,768600,1184900
8/1/2023,771500,1288500
7/1/2023,687300,1137700
6/1/2023,820100,1277900
5/1/2023,873400,1396800
4/1/2023,634400,1187500
3/1/2023,926400,1462700
2/1/2023,741600,1217300
1/1/2023,751329,1103131
12/1/2022,751248,1186400
11/1/2022,658722,1094348
10/1/2022,653845,1136376
9/1/2022,509865,986242
8/1/2022,789001,1328614
7/1/2022,738824,1116210
6/1/2022,860078,1345234
5/1/2022,770200,1320900
4/1/2022,705900,1297400
3/1/2022,765100,1472000
2/1/2022,621000,1176900
1/1/2022,475300,1063000
12/1/2021,634000,1147800
11/1/2021,507339,1236028
10/1/2021,727371,1178346
9/1/2021,618149,1250390
8/1/2021,585045,1258927
7/1/2021,608939,1323563
6/1/2021,654180,1297643
5/1/2021,546647,1389212
4/1/2021,635347,1365891
3/1/2021,770631,1573471
2/1/2021,596297,1357346
1/1/2021,551431,1200567
12/1/2020,977841,1409241
11/1/2020,431400,1102800
10/1/2020,831728,1368021
9/1/2020,929024,1411494
8/1/2020,904200,1390700
7/1/2020,1318600,1424100
6/1/2020,1392200,1597400
5/1/2020,1034100,1240000
4/1/2020,377215,451312
3/1/2020,493281,526502
2/1/2020,1030200,1075100
1/1/2020,825000,850300
12/1/2019,1022300,1035310
11/1/2019,1096738,1084380
10/1/2019,921400,1256400
9/1/2019,962900,1019700
8/1/2019,1061926,1118480
7/1/2019,1004600,1150000
6/1/2019,1195100,1116600
5/1/2019,1008819,1214400
4/1/2019,746712,1146036
3/1/2019,1209200,1173500
2/1/2019,1117968,1118361
1/1/2019,995543,1068340
12/1/2018,964259,1002269
11/1/2018,863583,1117086
10/1/2018,1016296,1195465
9/1/2018,953045,1100899
8/1/2018,1088090,1261985
7/1/2018,1150026,1191604
6/1/2018,937434,1232813
5/1/2018,1508900,1365700
4/1/2018,1287048,1331006
3/1/2018,1282745,1297111
2/1/2018,1254909,1173608
1/1/2018,927128,1034252
12/1/2017,491905,883229
11/1/2017,573524,679933
10/1/2017,322098,491446
9/1/2017,268958,298925
8/1/2017,983949,1022499
7/1/2017,966256,916563
6/1/2017,1169168,1046029
5/1/2017,826620,1071252
4/1/2017,903626,930096
3/1/2017,1096801,1068791
2/1/2017,806473,1037563
1/1/2017,744503,848675
12/1/2016,848746,930933
11/1/2016,755688,807475
10/1/2016,683448,929808
9/1/2016,786489,1004383
8/1/2016,693212,1017697
7/1/2016,1085210,921305
